Activities by baudinpi
 
 Activity Name,Activity Type,Course,Start,Time,Distance,Elevation Gain,Avg Speed(Avg Pace),Max Speed(Best Pace),Avg HR,Max HR,Calories,sumStrokes,Avg Strokes,Min Strokes,Training Effect,
 Running,Running,--,"Thu, 16 Feb 2017 20:42",40:00,5.67,16,7:04,4:13,138,154,433,--,--,--,--,
 Yoga ,Other,--,"Wed, 15 Feb 2017 20:00",1:00:00,0.00,--,0.0,--,--,--,--,--,--,--,--,
 Running,Running,--,"Mon, 13 Feb 2017 18:54",41:31,5.80,16,7:09,5:19,142,155,429,--,--,--,--,
 Week 7 bike rando,Cycling,--,"Sun, 12 Feb 2017 15:18",1:48:21,40.51,221,22.4,39.4,147,170,997,--,--,--,--,
 Yoga,Other,--,"Sat, 11 Feb 2017 19:30",1:00:00,0.00,--,0.0,--,--,--,--,--,--,--,--,
 Running,Running,--,"Thu, 9 Feb 2017 18:45",40:00,5.72,21,7:00,3:05,146,150,334,--,--,--,--,
 Yoga ,Other,--,"Tue, 7 Feb 2017 19:30",1:00:00,0.00,--,0.0,--,--,--,--,--,--,--,--,
 Strength training ,Strength Training,--,"Tue, 7 Feb 2017 8:20",30:00,0.00,--,0.0,--,--,--,187,--,--,--,--,
 20 - Running,Running,--,"Mon, 6 Feb 2017 19:00",30:00,4.23,23,7:05,4:04,136,149,277,--,--,--,--,
 Week 6 Bike rando,Cycling,--,"Sun, 5 Feb 2017 5:59",1:43:17,38.28,228,22.2,31.7,143,162,907,--,--,--,--,
 Yoga,Other,--,"Fri, 3 Feb 2017 20:00",1:00:00,0.00,--,0.0,--,--,--,--,--,--,--,--,
 30-Running,Running,--,"Thu, 2 Feb 2017 11:39",40:00,5.19,19,7:42,5:28,139,151,402,--,--,--,--,
 Yoga ,Other,--,"Tue, 31 Jan 2017 22:00",1:00:00,0.00,--,0.0,--,--,--,--,--,--,--,--,
 Strength training ,Strength Training,--,"Tue, 31 Jan 2017 11:30",35:00,0.00,--,0.0,--,--,--,218,--,--,--,--,
 20-Running,Running,--,"Mon, 30 Jan 2017 9:36",30:00,3.86,15,7:46,5:21,139,155,290,--,--,--,--,
 Week 5 bike rando,Cycling,--,"Sun, 29 Jan 2017 9:43",1:42:40,37.79,214,22.1,31.4,144,173,917,--,--,--,--,
 Yoga,Other,--,"Fri, 27 Jan 2017 20:30",1:00:00,0.00,--,0.0,--,--,--,--,--,--,--,--,
 20-Running,Running,--,"Thu, 26 Jan 2017 10:20",30:00,3.81,96,7:52,4:19,140,168,307,--,--,--,--,
 Yoga ,Other,--,"Tue, 24 Jan 2017 20:30",1:00:00,0.00,--,0.0,--,--,--,--,--,--,--,--,
 Strength training ,Strength Training,--,"Tue, 24 Jan 2017 12:30",25:00,0.00,--,0.0,--,--,--,156,--,--,--,--,
 
